incident_id,incident_name,organisation,org_type,sector,country,incident_type,attack_vector,threat_actor,threat_actor_type,supply_chain,downstream_orgs_affected,date_occurred,date_discovered,date_disclosed,dwell_time_days,detection_method,records_affected,data_types_exposed,ransom_demanded_usd,ransom_paid,downtime_days,estimated_cost_usd,regulator_notified,severity,is_synthetic,source,notes
SYN-00219,Ransomware at Taylor-Mason,Taylor-Mason,vendor,Nonprofit technology,US,Ransomware,Exposed RDP/VPN,NineSpindle,Ransomware crew,False,,2019-01-24,2019-01-26,2019-02-03,2,Security vendor / MDR,436632535,donation_history|email|health|name|passport|postal_address,31100,no,1,36601600157,yes,high,True,synthetic (Faker),
SYN-00006,Ransomware at Wellbeing Alliance,Wellbeing Alliance,nonprofit,Charity/Nonprofit,FR,Ransomware,Phishing,RustVulture,Ransomware crew,False,,2019-01-30,2019-01-30,2019-01-31,0,Internal detection,12615,donation_history|email|name|passport|phone|postal_address|ssn_or_ni_number,2728404,yes,21,,yes,high,True,synthetic (Faker),
SYN-00862,DDoS at Port Lindseymouth Authority,Port Lindseymouth Authority,public,Education,US,DDoS,Application-layer flood,Unattributed,Financially motivated,False,,2019-01-27,2019-02-05,2019-02-19,9,Third-party notification,8413,date_of_birth|email|internal_email|name|passport|postal_address|safeguarding_notes,,not_applicable,2,891067,yes,medium,True,synthetic (Faker),
SYN-00986,"Ransomware at Clark, Williams and Harvey","Clark, Williams and Harvey",vendor,Cloud/SaaS,IE,Ransomware,Unpatched vulnerability,QuietFathom,Ransomware crew,False,,2019-01-28,2019-02-08,2019-03-08,11,Public leak / dark web,1692718,donation_history|email|name|safeguarding_notes,3239646,undisclosed,38,249768475,unknown,critical,True,synthetic (Faker),
SYN-00838,Ransomware at East Sylviabury Authority,East Sylviabury Authority,public,Education,GB,Ransomware,Phishing,NorthQuarry,Ransomware crew,False,,2019-02-02,2019-02-10,2019-02-16,8,Security vendor / MDR,5433,email|phone,123537,no,16,720748,yes,medium,True,synthetic (Faker),
SYN-00408,Ransomware at Mendez and Sons,Mendez and Sons,private,Retail,US,Ransomware,Exposed RDP/VPN,QuietFathom,Ransomware crew,False,,2019-02-11,2019-02-13,2019-02-28,2,Public leak / dark web,15228233,bank_details|donation_history|email|health|name|postal_address,167382,yes,19,1004075095,yes,high,True,synthetic (Faker),
SYN-00508,Business email compromise at Bernard LLC,Bernard LLC,private,Retail,CA,Business email compromise,Compromised credentials,Unattributed,Unknown,False,,2019-01-28,2019-02-13,2019-03-03,16,Third-party notification,4041,internal_email|postal_address|safeguarding_notes,,not_applicable,0,942475,yes,medium,True,synthetic (Faker),
SYN-00626,Business email compromise at Heritage Network,Heritage Network,nonprofit,Charity/Nonprofit,US,Business email compromise,Phishing,Unattributed,Ransomware crew,False,,2019-02-03,2019-02-14,2019-02-17,11,Law enforcement notification,1826,email|name,,not_applicable,0,124963,yes,low,True,synthetic (Faker),
SYN-00627,Business email compromise at Williams-Jones,Williams-Jones,private,Logistics,GB,Business email compromise,Compromised credentials,Unattributed,Insider,False,,2019-01-15,2019-02-15,2019-02-24,31,Security vendor / MDR,9,email|health|passport|phone,,not_applicable,0,,yes,medium,True,synthetic (Faker),
SYN-00436,Ransomware at Herring-Johnson,Herring-Johnson,vendor,Software,AU,Ransomware,Compromised credentials,ObsidianKoi,Ransomware crew,False,,2019-02-13,2019-02-17,2019-02-21,4,Routine audit,9504,bank_details|credentials|date_of_birth|postal_address|ssn_or_ni_number,836465,no,9,2150325,unknown,medium,True,synthetic (Faker),
SYN-00701,Ransomware at South Gerard District Board,South Gerard District Board,public,Local government,GB,Ransomware,Unpatched vulnerability,TinCathedral,Ransomware crew,False,,2019-02-19,2019-02-19,2019-02-21,0,Law enforcement notification,108917,passport|phone|postal_address,19221,no,2,,yes,medium,True,synthetic (Faker),
>>>>>>> 8a74902011229c25354fcb7e063b9152ef665657
SYN-00179,Data breach at King-Martinez,King-Martinez,private,Healthcare,US,Data breach,Insecure API endpoint,AmberBastion,Ransomware crew,False,,2019-02-04,2019-02-27,2019-03-02,23,Law enforcement notification,2449,date_of_birth|health|name,,not_applicable,1,240467,yes,medium,True,synthetic (Faker),
SYN-00163,"Data breach at Hernandez, Thompson and Boyd","Hernandez, Thompson and Boyd",private,Healthcare,AU,Data breach,Phishing,Unattributed,Financially motivated,False,,2019-01-24,2019-03-05,2019-03-06,40,Security vendor / MDR,13198,date_of_birth|email|employment|health|name|postal_address|ssn_or_ni_number,358721,no,5,,yes,medium,True,synthetic (Faker),
SYN-00972,Business email compromise at Peacock-Hill,Peacock-Hill,private,Manufacturing,GB,Business email compromise,Compromised credentials,Unattributed,Financially motivated,False,,2019-03-01,2019-03-06,2019-04-08,5,Internal detection,,not_applicable,,not_applicable,3,169146,unknown,low,True,synthetic (Faker),
SYN-00709,"Ransomware at Barber, Porter and Armstrong","Barber, Porter and Armstrong",private,Financial services,US,Ransomware,Exposed RDP/VPN,Unattributed,Ransomware crew,False,,2019-02-28,2019-03-12,2019-03-22,12,Internal detection,200129,email|health|name|phone|postal_address,6209072,yes,115,28261217,yes,high,True,synthetic (Faker),
SYN-00667,"Supply chain compromise at Read, Payne and Wood","Read, Payne and Wood",private,Healthcare,US,Supply chain compromise,Trojanised software update,Unattributed,Hacktivist,True,69,2019-01-31,2019-03-13,2019-03-18,41,Routine audit,66515,credit_card|date_of_birth|email|health|name|phone|postal_address,,not_applicable,1,9969203,yes,high,True,synthetic (Faker),
<<<<<<< HEAD
SYN-01545,Data breach at Campbell LLC,Campbell LLC,private,Financial services,IN,Data breach,Phishing,HollowLantern,Ransomware crew,False,,2019-02-14,2019-03-13,2019-04-11,27,Law enforcement notification,98422,name|phone|postal_address,,not_applicable,0,15311684,yes,medium,True,synthetic (Faker),
SYN-01388,Ransomware at Thompson-Abbott,Thompson-Abbott,vendor,Software,GB,Ransomware,Compromised credentials,DimStag,Ransomware crew,False,,2019-03-12,2019-03-14,2019-03-23,2,Routine audit,54890,employment|internal_email|name|postal_address|safeguarding_notes,69011,no,12,3846174,yes,high,True,synthetic (Faker),
SYN-01217,DDoS at Mitchell Group,Mitchell Group,private,Retail,US,DDoS,Volumetric flood,Unattributed,Financially motivated,False,,2019-03-10,2019-03-15,2019-03-22,5,Internal detection,,not_applicable,,not_applicable,1,333742,no,low,True,synthetic (Faker),
SYN-00692,"Unauthorised access at Warner, Carr and Birch","Warner, Carr and Birch",private,Logistics,DE,Unauthorised access,Compromised credentials,Unattributed,Ransomware crew,False,,2019-01-22,2019-03-16,2019-03-17,53,Third-party notification,548,donation_history|email|name|phone|postal_address|safeguarding_notes|ssn_or_ni_number,,not_applicable,0,115058,no,medium,True,synthetic (Faker),
SYN-00873,Insider incident at Wright-Osborne,Wright-Osborne,private,Healthcare,GB,Insider incident,Negligent insider,Unattributed,Insider,False,,2019-03-20,2019-03-22,2019-04-09,2,Third-party notification,31870,bank_details|donation_history|email|health,,not_applicable,1,4992652,yes,medium,True,synthetic (Faker),
SYN-00225,Ransomware at Chambers Inc,Chambers Inc,private,Logistics,CA,Ransomware,Unpatched vulnerability,TinCathedral,Ransomware crew,False,,2019-03-27,2019-03-27,2019-04-01,0,Security vendor / MDR,588,credit_card|date_of_birth|email|employment|name|phone|ssn_or_ni_number,4962799,undisclosed,37,3121164,yes,high,True,synthetic (Faker),
SYN-01764,Unauthorised access at Baldwin LLC,Baldwin LLC,vendor,Software,IE,Unauthorised access,Exposed RDP/VPN,CobaltFinch,Nation state,False,,2019-01-06,2019-03-27,2019-03-28,80,Internal detection,3400577,donation_history|employment|internal_email|name|phone,,not_applicable,0,509770086,unknown,medium,True,synthetic (Faker),
SYN-00048,Phishing campaign at Literacy Trust,Literacy Trust,nonprofit,Charity/Nonprofit,DE,Phishing campaign,Phishing,QuietFathom,Ransomware crew,False,,2019-03-08,2019-03-28,2019-03-29,20,Public leak / dark web,2427,credit_card|donation_history|health,33242,no,2,,yes,medium,True,synthetic (Faker),
SYN-00190,Phishing campaign at Singh-Jones,Singh-Jones,private,Healthcare,IE,Phishing campaign,Phishing,Unattributed,Unknown,False,,2019-01-06,2019-03-29,2019-03-30,82,Law enforcement notification,55619,bank_details|date_of_birth|email|health|internal_email|phone|postal_address,,not_applicable,2,4648680,yes,medium,True,synthetic (Faker),
SYN-01089,Ransomware at Harvest Support,Harvest Support,nonprofit,Charity/Nonprofit,AU,Ransomware,Help-desk social engineering,AmberBastion,Ransomware crew,False,,2019-03-29,2019-03-31,2019-04-06,2,Law enforcement notification,1516,email|internal_email|name|phone|postal_address|safeguarding_notes|ssn_or_ni_number,394743,undisclosed,4,277202,yes,medium,True,synthetic (Faker),
SYN-01766,"Ransomware at Graham, Scott and Jennings","Graham, Scott and Jennings",private,Financial services,GB,Ransomware,Compromised credentials,Unattributed,Ransomware crew,False,,2019-03-29,2019-04-05,2019-04-08,7,Customer report,77078,bank_details|email|name|postal_address|ssn_or_ni_number,413884,no,3,,yes,medium,True,synthetic (Faker),
SYN-00447,Ransomware at Bond-O'Neill,Bond-O'Neill,private,Financial services,AU,Ransomware,Help-desk social engineering,Unattributed,Ransomware crew,False,,2019-04-05,2019-04-08,2019-04-27,3,Security vendor / MDR,11496,bank_details|email|employment|name|phone|postal_address,103363,no,3,2346543,yes,medium,True,synthetic (Faker),
SYN-00971,Ransomware at Kindling Care,Kindling Care,nonprofit,Charity/Nonprofit,GB,Ransomware,Unpatched vulnerability,QuietFathom,Ransomware crew,False,,2019-04-04,2019-04-08,2019-04-19,4,Public leak / dark web,1971,bank_details|date_of_birth|health|postal_address|ssn_or_ni_number,3626199,no,10,523599,yes,medium,True,synthetic (Faker),
SYN-01332,Data breach at Rivers Society,Rivers Society,nonprofit,Charity/Nonprofit,GB,Data breach,Compromised credentials,Unattributed,Hacktivist,False,,2019-03-18,2019-04-08,2019-04-10,21,Internal detection,18280,donation_history|email|name|postal_address,,not_applicable,0,364860,yes,medium,True,synthetic (Faker),
SYN-00699,Ransomware at Carlson-Andrews,Carlson-Andrews,private,Legal/Professional,IN,Ransomware,Exposed RDP/VPN,GlassMantis,Ransomware crew,False,,2019-04-06,2019-04-09,2019-04-30,3,Public leak / dark web,16601,bank_details|health|passport|phone|postal_address,4248976,no,19,2131237,yes,high,True,synthetic (Faker),
SYN-01951,"Business email compromise at Edwards, Stafford and Stewart","Edwards, Stafford and Stewart",private,Retail,IN,Business email compromise,Phishing,Unattributed,Unknown,False,,2019-03-24,2019-04-09,2019-04-22,16,Law enforcement notification,8994,email|name|passport|phone|postal_address|safeguarding_notes,,not_applicable,0,557905,yes,medium,True,synthetic (Faker),
SYN-00861,Ransomware at Beacon Hill Fund,Beacon Hill Fund,nonprofit,Charity/Nonprofit,DE,Ransomware,Unpatched vulnerability,TinCathedral,Ransomware crew,False,,2019-04-03,2019-04-12,2019-04-16,9,Internal detection,33852,donation_history|employment|internal_email|name|passport|phone|postal_address,8478180,no,6,2711716,yes,medium,True,synthetic (Faker),
SYN-01829,Ransomware at Carter Group,Carter Group,private,Healthcare,US,Ransomware,Unpatched vulnerability,NorthQuarry,Ransomware crew,False,,2019-03-25,2019-04-14,2019-04-26,20,Internal detection,42490,credentials|date_of_birth|email|employment|health|name|phone,297032,no,21,4040180,yes,high,True,synthetic (Faker),
SYN-01580,Ransomware at Whitehead LLC,Whitehead LLC,private,Legal/Professional,IE,Ransomware,Unpatched vulnerability,HollowLantern,Ransomware crew,False,,2019-04-13,2019-04-15,2019-05-15,2,Internal detection,6396,bank_details|internal_email,14450685,yes,18,1136944,yes,medium,True,synthetic (Faker),
SYN-01493,Data breach at Cliveville NHS Trust,Cliveville NHS Trust,public,Local government,FR,Data breach,Compromised credentials,AmberBastion,Ransomware crew,False,,2019-03-23,2019-04-16,2019-04-24,24,Security vendor / MDR,77969,date_of_birth|email|name|postal_address|safeguarding_notes,,not_applicable,0,2854769,yes,medium,True,synthetic (Faker),
SYN-01815,"Data breach at Bennett, Stewart and Collins","Bennett, Stewart and Collins",private,Healthcare,GB,Data breach,Insecure API endpoint,GlassMantis,Ransomware crew,False,,2019-04-05,2019-04-16,2019-04-22,11,Security vendor / MDR,25084,email|health|phone|postal_address,,not_applicable,1,3134516,yes,medium,True,synthetic (Faker),
SYN-00575,DDoS at Fernandez Inc,Fernandez Inc,private,Healthcare,IN,DDoS,Application-layer flood,Unattributed,Hacktivist,False,,2019-04-14,2019-04-18,2019-04-20,4,Internal detection,,not_applicable,,not_applicable,6,292438,no,medium,True,synthetic (Faker),
SYN-01111,Business email compromise at Burgess PLC,Burgess PLC,vendor,Nonprofit technology,AU,Business email compromise,MFA fatigue,HollowLantern,Ransomware crew,True,326,2019-04-16,2019-04-18,2019-04-22,2,Internal detection,,not_applicable,,not_applicable,0,,no,medium,True,synthetic (Faker),
SYN-00859,"Ransomware at Armstrong, Cross and Davidson","Armstrong, Cross and Davidson",vendor,Cloud/SaaS,NL,Ransomware,Phishing,ObsidianKoi,Ransomware crew,True,548,2019-04-12,2019-04-19,2019-04-26,7,Third-party notification,671822,credit_card|email|name|passport|phone,404439,undisclosed,2,113909602,unknown,medium,True,synthetic (Faker),
SYN-01881,Business email compromise at Castro-Graham,Castro-Graham,private,Retail,GB,Business email compromise,Phishing,Unattributed,Nation state,False,,2019-04-11,2019-04-23,2019-04-25,12,Third-party notification,,not_applicable,,not_applicable,0,73499,no,medium,True,synthetic (Faker),
SYN-00488,"Ransomware at Ramirez, Hays and Becker","Ramirez, Hays and Becker",private,Retail,US,Ransomware,Compromised credentials,ObsidianKoi,Ransomware crew,False,,2019-04-19,2019-04-24,2019-04-29,5,Internal detection,426115,credit_card|date_of_birth|email|health|name|phone|postal_address,14256346,no,23,73636754,yes,high,True,synthetic (Faker),
SYN-01212,Ransomware at Carrillomouth Council,Carrillomouth Council,public,Education,SG,Ransomware,Unpatched vulnerability,DimStag,Ransomware crew,False,,2019-04-22,2019-04-24,2019-04-29,2,Security vendor / MDR,4183,email|health|name|phone|postal_address,1805774,yes,8,1588058,yes,medium,True,synthetic (Faker),
SYN-00024,Ransomware at Bond Inc,Bond Inc,private,Financial services,GB,Ransomware,Compromised credentials,NineSpindle,Ransomware crew,False,,2019-04-16,2019-04-26,2019-05-04,10,Internal detection,72564,email|health,360362,undisclosed,6,13146899,yes,high,True,synthetic (Faker),
SYN-00769,Ransomware at Smith Group,Smith Group,private,Manufacturing,GB,Ransomware,Compromised credentials,VelvetSiphon,Ransomware crew,False,,2019-04-26,2019-04-27,2019-04-30,1,Internal detection,135980,credentials|credit_card|email|internal_email|phone|postal_address,216972,no,4,6302963,yes,medium,True,synthetic (Faker),
SYN-00668,Data breach at Robertsland Authority,Robertsland Authority,public,Education,US,Data breach,Insecure API endpoint,Unattributed,Ransomware crew,False,,2019-03-15,2019-05-04,2019-05-09,50,Customer report,35133,passport|phone|ssn_or_ni_number,,not_applicable,1,,yes,medium,True,synthetic (Faker),
SYN-01732,"Ransomware at Saunders, Ward and Patel","Saunders, Ward and Patel",vendor,Cloud/SaaS,GB,Ransomware,Exposed RDP/VPN,Unattributed,Ransomware crew,False,,2019-04-29,2019-05-04,2019-06-04,5,Internal detection,15525,bank_details|credentials|email|health|name|passport|postal_address,3265023,undisclosed,1,2207047,yes,medium,True,synthetic (Faker),
SYN-00810,DDoS at North Ericport Council,North Ericport Council,public,Education,GB,DDoS,Application-layer flood,AmberBastion,Ransomware crew,False,,2019-05-07,2019-05-08,2019-06-18,1,Customer report,,not_applicable,,not_applicable,1,,no,medium,True,synthetic (Faker),
SYN-00754,Supply chain compromise at Fisher PLC,Fisher PLC,vendor,Cloud/SaaS,US,Supply chain compromise,Trojanised software update,Unattributed,Unknown,True,445,2019-02-07,2019-05-12,2019-05-15,94,Third-party notification,2242262,email|postal_address,,not_applicable,0,163945702,yes,high,True,synthetic (Faker),
SYN-01723,Unauthorised access at Arellano-Carrillo,Arellano-Carrillo,vendor,Nonprofit technology,GB,Unauthorised access,Compromised credentials,Unattributed,Ransomware crew,False,,2019-04-15,2019-05-12,2019-05-20,27,Internal detection,106793,donation_history|email|health|phone|safeguarding_notes,,not_applicable,4,,yes,medium,True,synthetic (Faker),
=======
SYN-00692,"Unauthorised access at Warner, Carr and Birch","Warner, Carr and Birch",private,Logistics,DE,Unauthorised access,Compromised credentials,Unattributed,Ransomware crew,False,,2019-01-22,2019-03-16,2019-03-17,53,Third-party notification,548,donation_history|email|name|phone|postal_address|safeguarding_notes|ssn_or_ni_number,,not_applicable,0,115058,no,medium,True,synthetic (Faker),
